Variable,MAE,RMSE,R2_Score
w/m2_solar_radiation,51.07694626413703,108.10861686020911,0.6801067488088715
m3/m3_15_cm_water_content_1,0.025176552673089,0.038553474495271814,0.8293967032974513
degree_c_15_cm_soil_temperature_1,0.904883174709759,1.179596933393362,0.9676528244997217
m/s_wind_speed,0.32664847122546,0.4562726463595911,0.7235698291054476
degree_c_air_temperature,1.2550618051650098,1.607271178932531,0.957934109598259
